propertyid,city,state,zipcode,address,bedrooms,bathrooms,squarefeet,pricing,yearbuilt,description,listingdate,status,type
67832538,Union Point,Georgia,30669,221 Shelia Junction Apt. 882,2,2,2852,4825242.92,2011,Close to schools and shopping centers.,2023-11-07,Under Contract,condominiums
34915808,Chowchilla,California,93610,4055 Robert Dale Suite 526,3,1,3000,2448647.98,1970,"Located in a quiet neighborhood, this property offers great potential.",2024-02-17,Sold,townhouses
75975691,Honolulu,Hawaii,96849,1889 Gutierrez Run Apt. 682,1,2,2243,4613376.05,1925,Spacious property with a large backyard.,2023-11-11,Pending,townhouses
51841148,Colden,New York,14033,16307 Vanessa Bridge Apt. 679,1,1,952,1058861.11,1966,Perfect for first-time buyers or investors.,2023-12-13,For Sale,single houses
14731931,Rock Valley,Iowa,51247,649 Amanda Inlet Apt. 560,4,2,3683,2680002.96,1936,"Located in a quiet neighborhood, this property offers great potential.",2024-07-25,Sold,townhouses
17658069,Vida,Oregon,97488,4737 Clark Well Suite 541,2,1,3778,637452.12,1984,A beautiful home with stunning views.,2024-01-22,Pending,townhouses
12631466,Avondale,Colorado,81022,9226 Brown Gardens,5,2,1338,2597616.49,1945,Spacious property with a large backyard.,2024-03-11,Under Contract,apartments
64044506,Williamson,West Virginia,25661,61578 Sawyer Stream Apt. 381,1,2,915,2584511.03,1909,"Located in a quiet neighborhood, this property offers great potential.",2024-08-01,Under Contract,townhouses
86932261,Evansville,Indiana,47750,795 Jonathan Crest,2,2,1331,2431155.93,1922,Close to schools and shopping centers.,2024-05-18,Pending,apartments
27313894,Tiona,Pennsylvania,16352,13280 Jackson Extensions Suite 945,3,2,658,1734732.44,1902,Recently renovated with modern finishes.,2023-08-24,Under Contract,villas
19237575,Genoa,Nebraska,68640,2787 Bradley Mission Suite 193,4,3,3961,2089105.47,1907,"Located in a quiet neighborhood, this property offers great potential.",2024-04-16,For Sale,condominiums
87643548,Los Angeles,California,90050,48623 Benjamin Spring,1,2,2028,3429200.79,1925,Perfect for first-time buyers or investors.,2023-08-14,For Sale,apartments
76982487,Glidden,Wisconsin,54527,65825 Peter Summit Suite 300,5,2,1210,2776684.59,1931,Perfect for first-time buyers or investors.,2023-10-22,Sold,apartments
31021170,Toledo,Ohio,43666,158 Benitez Creek,4,3,894,2949580.68,1990,A beautiful home with stunning views.,2023-12-01,Sold,condominiums
34123933,Mesa,Arizona,85212,789 Martinez Mount,5,3,3759,92685.72,1952,Recently renovated with modern finishes.,2024-03-27,Off Market,villas
98685575,Port Gibson,New York,14537,0360 Cory Drive Apt. 126,2,3,4677,311973.08,2003,Perfect for first-time buyers or investors.,2024-03-15,Sold,villas
80641548,Pittsburgh,Pennsylvania,15207,55433 Toni Centers Suite 978,3,2,4384,1850329.47,1926,Spacious property with a large backyard.,2024-02-25,Sold,condominiums
20279919,North Las Vegas,Nevada,89032,9238 Carson Prairie Suite 868,3,2,2308,2309246.4,1982,Perfect for first-time buyers or investors.,2024-01-24,Sold,single houses
47985486,Orlando,Florida,32877,41695 Cannon Summit Suite 215,5,1,4513,2892653.79,1986,Spacious property with a large backyard.,2023-11-14,Off Market,townhouses
51435389,Albany,New York,12246,01579 Debra Parkway Suite 550,1,2,4201,1582560.76,1936,Spacious property with a large backyard.,2023-08-22,Pending,apartments
94097523,Pembroke,Virginia,24136,3936 Wallace Cove,3,2,4872,2144644.92,1956,Spacious property with a large backyard.,2024-06-18,For Sale,apartments
91415600,Linwood,North Carolina,27299,4418 Jackson Park,3,2,1780,2083460.66,1904,Spacious property with a large backyard.,2024-05-07,Sold,townhouses
31598447,Bolton,Massachusetts,1740,03443 Jefferson Roads Suite 365,1,1,2723,4700063.41,2014,A beautiful home with stunning views.,2023-09-04,Off Market,villas
75048542,Mc Rae,Arkansas,72102,55910 Miller Street,5,2,1572,911134.65,1978,Close to schools and shopping centers.,2024-04-21,Pending,condominiums
40063946,Oxnard,California,93036,89925 Flores Forest,5,2,3376,3415393.83,2018,Close to schools and shopping centers.,2024-05-31,Pending,apartments
75511198,Waterloo,Iowa,50704,523 Tyrone Ports,2,1,1350,2979744.07,2019,Perfect for first-time buyers or investors.,2024-06-09,Off Market,apartments
58305226,Westfield,Iowa,51062,77558 Karina Gateway Apt. 502,3,1,4545,2048716.08,2018,Spacious property with a large backyard.,2024-05-03,For Sale,apartments
39179753,Dallas,Texas,75275,151 Michelle Mall,5,3,756,885335.85,2002,Recently renovated with modern finishes.,2023-10-13,Off Market,townhouses
83382272,Delta,Louisiana,71233,443 Peter Cape Apt. 042,3,3,4187,2912318.16,1913,Spacious property with a large backyard.,2024-01-15,For Sale,condominiums
83553906,Goodspring,Tennessee,38460,165 Williams Crossroad,4,1,4109,4683915.89,1928,Perfect for first-time buyers or investors.,2024-05-16,Under Contract,condominiums
67498897,Washington,District of Columbia,20022,2611 Mario Gateway Suite 610,2,2,3027,1226994.62,1978,"Located in a quiet neighborhood, this property offers great potential.",2023-11-21,Sold,apartments
62129642,Rapid River,Michigan,49878,3914 David Fort,3,1,1901,263460.04,1968,Recently renovated with modern finishes.,2024-06-25,Off Market,villas
95582801,Blue Earth,Minnesota,56013,305 Brian Course Apt. 455,2,2,943,85277.1,1973,Perfect for first-time buyers or investors.,2023-09-13,Sold,single houses
48210344,Canton,Ohio,44799,0473 Patton Manor Apt. 311,3,2,1896,4303219.56,1946,"Located in a quiet neighborhood, this property offers great potential.",2023-08-26,Off Market,villas
19487824,Cornwall Bridge,Connecticut,6754,588 Wright Ferry Suite 847,4,3,2211,2817534.44,1904,"Located in a quiet neighborhood, this property offers great potential.",2023-10-20,Sold,single houses
32469315,New Albany,Indiana,47150,6775 Sean Pine,5,1,1175,3037420.18,1977,"Located in a quiet neighborhood, this property offers great potential.",2024-06-07,For Sale,villas
26978973,Sinclair,Wyoming,82334,198 Patrick Hills,1,3,889,232850.57,2006,A beautiful home with stunning views.,2024-04-13,Sold,villas
18992693,Scotia,California,95565,8118 Nixon Mission,5,3,1629,1126415.97,1952,Recently renovated with modern finishes.,2024-05-23,For Sale,villas
58250520,Bear Lake,Michigan,49614,9109 Barry Canyon,3,3,972,3676155.38,2018,Spacious property with a large backyard.,2024-01-16,For Sale,single houses
78374672,Edelstein,Illinois,61526,12346 Brown Mills,4,2,2064,2973093.15,2022,A beautiful home with stunning views.,2024-01-07,For Sale,single houses
92111398,Omer,Michigan,48749,503 Shaw Tunnel Suite 577,3,1,3788,2777576.0,2018,Recently renovated with modern finishes.,2024-07-05,Pending,townhouses
37841836,Sandyville,West Virginia,25275,3080 Clark Fields,3,3,2045,4337933.48,1971,Spacious property with a large backyard.,2024-05-21,Pending,single houses
64783969,Topeka,Kansas,66603,14923 Hess Mall Suite 088,1,2,3132,2252259.47,2007,Recently renovated with modern finishes.,2024-03-03,For Sale,villas
50262070,Shiloh,Georgia,31826,2124 Gonzalez Curve,2,1,808,2305184.47,2007,A beautiful home with stunning views.,2024-07-24,Sold,villas
84763192,Evansville,Indiana,47701,16111 Melissa Fort Apt. 448,3,1,4924,4847211.38,1972,Close to schools and shopping centers.,2023-09-29,Pending,villas
25524576,Mc Williams,Alabama,36753,7878 Mary Lock,1,1,3317,1534645.91,1927,Close to schools and shopping centers.,2024-02-06,Under Contract,townhouses
25418016,Pittston,Pennsylvania,18640,12189 Christian Circles,3,3,1585,4372515.42,1911,Close to schools and shopping centers.,2023-08-25,Pending,townhouses
89585417,Red Level,Alabama,36474,82264 Lawrence Common Apt. 522,3,1,2346,450548.36,1956,Recently renovated with modern finishes.,2024-06-04,Under Contract,single houses
44778863,Saginaw,Michigan,48603,41677 Smith Green,3,1,2068,152449.19,1995,Perfect for first-time buyers or investors.,2023-10-19,Under Contract,villas
12866594,Thompsonville,Illinois,62890,556 Hall Forge,2,3,3250,4905596.1,1976,A beautiful home with stunning views.,2024-01-26,Sold,condominiums
61046637,Farnhamville,Iowa,50538,0906 Brett Cove,5,1,2821,1031506.33,1915,"Located in a quiet neighborhood, this property offers great potential.",2024-06-01,For Sale,townhouses
37928453,Youngstown,New York,14174,871 Clinton Rapid,5,2,2406,542157.77,2007,Recently renovated with modern finishes.,2024-07-02,Off Market,condominiums
13170259,Saint Joseph,Illinois,61873,8921 James Shores Apt. 091,1,1,3191,954942.98,1926,Spacious property with a large backyard.,2024-04-05,For Sale,villas
80807018,Loris,South Carolina,29569,0777 Paula Corner Apt. 816,5,1,2891,2617638.6,1959,A beautiful home with stunning views.,2024-02-04,Sold,apartments
43752518,Village Mills,Texas,77663,1312 Holland Spring Apt. 367,3,3,1273,1958863.01,1960,"Located in a quiet neighborhood, this property offers great potential.",2024-02-15,Sold,villas
85132081,Raleigh,North Carolina,27668,98200 Mark Ferry,5,2,2531,4305170.52,1906,Close to schools and shopping centers.,2023-08-17,Pending,single houses
26556964,Oceanside,California,92049,5535 Mercado Valley Suite 945,3,1,4093,3805919.63,1968,A beautiful home with stunning views.,2023-11-18,Off Market,apartments
58028973,Hooker,Oklahoma,73945,96972 Emily Vista,5,3,1735,2553078.79,1953,Perfect for first-time buyers or investors.,2023-10-25,Under Contract,condominiums
54745713,Irma,Wisconsin,54442,0601 Norman Manors,3,1,1747,3328280.98,1977,"Located in a quiet neighborhood, this property offers great potential.",2023-10-05,Off Market,apartments
62371143,Latham,Illinois,62543,3178 Michelle Motorway,1,2,4813,4956357.08,2013,Perfect for first-time buyers or investors.,2023-10-17,Under Contract,apartments
36907644,Rockford,Minnesota,55572,267 Gerald Station Suite 825,5,2,3535,1678531.5,2004,A beautiful home with stunning views.,2024-02-04,For Sale,condominiums
55300751,Morrow,Louisiana,71356,88139 Turner Flats Suite 945,5,1,2132,265509.8,1992,Close to schools and shopping centers.,2023-10-07,Off Market,single houses
18281837,Baltimore,Maryland,21202,0147 Robert Crest Apt. 902,4,1,1252,2230506.43,1918,Perfect for first-time buyers or investors.,2024-03-21,Sold,villas
25087076,Mc Daniels,Kentucky,40152,9219 Smith Locks Suite 799,3,2,1353,3578721.49,1901,"Located in a quiet neighborhood, this property offers great potential.",2023-11-03,Pending,villas
17358624,La Plata,New Mexico,87418,17239 Paul Courts Suite 171,2,1,3721,501762.49,2011,A beautiful home with stunning views.,2023-08-05,For Sale,single houses
19115189,Sussex,Wisconsin,53089,65821 Davis Streets,1,3,4006,1140438.11,1959,A beautiful home with stunning views.,2023-12-24,Under Contract,villas
53636600,Wolfcreek,West Virginia,24993,38037 Allison Extensions Suite 436,1,2,4875,2140515.23,1928,"Located in a quiet neighborhood, this property offers great potential.",2024-02-07,Pending,apartments
48358126,San Antonio,Texas,78285,04328 Kennedy Grove,3,3,1637,2370863.0,1901,A beautiful home with stunning views.,2024-03-01,Under Contract,townhouses
93473372,Chicago,Illinois,60653,40713 Baker Walks,5,2,3669,851374.07,1903,Perfect for first-time buyers or investors.,2023-10-24,Sold,townhouses
59358883,Mound City,South Dakota,57646,6859 Louis Pike Suite 213,5,3,2324,819942.85,1912,Spacious property with a large backyard.,2024-06-24,Pending,single houses
68694906,Oxnard,California,93030,3416 Robert Port,5,1,854,3108691.96,1981,Spacious property with a large backyard.,2023-09-25,Sold,villas
39039478,Chacon,New Mexico,87713,359 Mackenzie Extensions Suite 207,2,1,4474,2383045.64,2017,Perfect for first-time buyers or investors.,2024-06-13,For Sale,single houses
35429704,Medford,Massachusetts,2155,37397 Richardson Land,2,2,4628,4542786.66,1909,"Located in a quiet neighborhood, this property offers great potential.",2024-04-15,Off Market,villas
61822492,Duncanville,Texas,75138,743 Bryant Pass,2,1,3553,3311541.18,1945,Perfect for first-time buyers or investors.,2024-04-30,Pending,townhouses
28953353,North Hartland,Vermont,5052,2142 Stephen Circle Apt. 293,4,1,701,1424867.27,1995,Perfect for first-time buyers or investors.,2023-11-08,Off Market,villas
32179323,New Carlisle,Indiana,46552,41477 Heather Plaza Suite 870,2,2,2739,1210323.41,1983,Spacious property with a large backyard.,2024-07-08,Pending,single houses
93363938,Whiteclay,Nebraska,69365,2464 Robbins Corner,3,2,2257,1141064.5,1900,Perfect for first-time buyers or investors.,2024-08-02,Under Contract,single houses
37410482,Mont Belvieu,Texas,77580,60901 Carolyn Fall Apt. 177,3,1,4038,1722051.62,1942,Perfect for first-time buyers or investors.,2023-10-28,Off Market,single houses
75583620,Pahrump,Nevada,89060,37393 Jennifer Squares Suite 322,2,1,611,3830931.77,1973,Close to schools and shopping centers.,2023-12-10,Sold,condominiums
84336974,Brushton,New York,12916,485 Wang Glen,3,2,2132,445954.89,1976,A beautiful home with stunning views.,2024-07-04,Pending,villas
53796788,Albuquerque,New Mexico,87101,578 Wilson Creek,1,2,1097,1799086.39,1973,A beautiful home with stunning views.,2024-04-11,Off Market,single houses
85387836,Starford,Pennsylvania,15777,1182 Laura Plains,2,1,4098,208916.65,1933,A beautiful home with stunning views.,2024-07-28,Pending,single houses
48313685,Perkinston,Mississippi,39573,7595 Alvarado Burg,5,1,2396,1880079.59,1967,Close to schools and shopping centers.,2023-08-10,Under Contract,condominiums
28783279,Houston,Texas,77292,55168 Wheeler Shoal,2,1,4744,1385127.43,1960,Perfect for first-time buyers or investors.,2023-11-01,Pending,single houses
74091373,La Pryor,Texas,78872,2083 Jane Courts Suite 274,3,1,2636,2021397.92,1949,"Located in a quiet neighborhood, this property offers great potential.",2024-02-05,Pending,single houses
95772548,Lorane,Oregon,97451,7503 Cory Points Suite 342,2,2,4635,3080435.88,1919,A beautiful home with stunning views.,2023-09-03,Sold,condominiums
65316443,Pateros,Washington,98846,40380 Barnett Valleys Apt. 330,1,3,2107,4777086.82,1928,Spacious property with a large backyard.,2023-11-07,Pending,single houses
73832115,Amawalk,New York,10501,40598 Joseph Spur,5,3,3851,440015.15,1931,Perfect for first-time buyers or investors.,2023-10-05,Under Contract,villas
97782937,Peru,Illinois,61354,78926 Arnold Light Suite 725,3,3,3111,294759.44,1920,A beautiful home with stunning views.,2024-02-20,Off Market,condominiums
13665650,Middlesex,New Jersey,8846,138 Norman Oval Suite 662,2,3,4948,4203257.97,1928,Perfect for first-time buyers or investors.,2023-08-19,Sold,villas
45104326,Falling Waters,West Virginia,25419,58621 Sawyer Mall Apt. 013,3,2,1207,2134015.55,2010,Close to schools and shopping centers.,2024-02-23,Sold,condominiums
92266429,East Berkshire,Vermont,5447,592 Aguilar Landing,4,3,2934,1216416.85,2004,A beautiful home with stunning views.,2023-08-17,Under Contract,condominiums
12816950,Island,Kentucky,42350,803 Gilmore Manor Suite 777,2,2,2418,4300878.54,1947,Perfect for first-time buyers or investors.,2024-05-01,Sold,townhouses
96263122,Walnutport,Pennsylvania,18088,0819 Daniel Loaf Apt. 716,2,2,3353,2127702.81,1924,Spacious property with a large backyard.,2024-04-21,Pending,condominiums
57178937,Harvel,Illinois,62538,6043 Bradley Orchard,2,1,904,4144676.24,1984,A beautiful home with stunning views.,2024-01-29,Under Contract,single houses
43575911,Keedysville,Maryland,21756,528 Guzman Island,1,1,1911,4780941.49,1942,Close to schools and shopping centers.,2024-01-07,Off Market,single houses
29264290,Reno,Nevada,89503,4663 Brenda Springs,1,2,932,763021.2,1988,Perfect for first-time buyers or investors.,2024-06-30,For Sale,townhouses
87070098,Saint Paul,Minnesota,55110,1562 Richard Land Suite 886,3,3,3764,4140619.79,1950,Spacious property with a large backyard.,2023-11-01,Off Market,townhouses
57254581,Paint Lick,Kentucky,40461,188 John View Apt. 011,2,3,1172,1446754.76,2018,Perfect for first-time buyers or investors.,2023-09-20,Pending,condominiums
70492790,Fort Worth,Texas,76181,5480 Williams Points Suite 265,3,2,4907,1977333.36,1902,Spacious property with a large backyard.,2024-05-05,Pending,single houses
33182826,Olivia,Minnesota,56277,7274 Farmer Union Apt. 861,2,1,3622,2800223.87,1926,"Located in a quiet neighborhood, this property offers great potential.",2024-03-23,Off Market,townhouses
55049036,Glenwood,Missouri,63541,92113 Gibson Ville Apt. 033,3,3,2960,1491669.88,1936,A beautiful home with stunning views.,2023-09-25,Sold,single houses
73402319,Phoenix,Arizona,85064,978 Tiffany Locks Suite 010,3,1,2329,3995059.41,1980,Spacious property with a large backyard.,2023-09-19,Pending,townhouses
42901153,Saint Louis,Missouri,63143,14904 Owens Highway,4,1,2158,3948085.63,1924,A beautiful home with stunning views.,2024-07-21,Pending,villas
31224691,San Jose,California,95121,98814 Reilly Mill,3,1,3396,1098822.2,2009,A beautiful home with stunning views.,2024-02-29,Under Contract,single houses
24383944,Shepherd,Montana,59079,635 White Mountains Suite 177,1,1,700,2448258.79,1958,A beautiful home with stunning views.,2024-01-27,Sold,villas
74775124,Fresno,California,93771,953 Lisa Forest Suite 123,4,3,4083,4031359.03,1934,Perfect for first-time buyers or investors.,2023-12-11,Sold,single houses
84764711,Townsend,Georgia,31331,29415 Jimenez Estates,3,1,1709,4629993.27,2012,"Located in a quiet neighborhood, this property offers great potential.",2023-12-13,Under Contract,apartments
54935330,Pedricktown,New Jersey,8067,48016 Elizabeth Squares,5,1,3403,4539217.93,2003,A beautiful home with stunning views.,2023-11-13,Sold,condominiums
97155568,North Walpole,New Hampshire,3609,68785 Davis Motorway,4,1,4421,3902771.17,1947,A beautiful home with stunning views.,2024-05-09,Under Contract,apartments
71044502,Rock Hill,South Carolina,29730,65200 Valdez Hill,3,3,614,2242938.07,1960,Recently renovated with modern finishes.,2024-04-16,Sold,single houses
63825361,Goodells,Michigan,48027,047 Mathew Forges,1,3,2489,2320969.74,1900,Close to schools and shopping centers.,2023-09-16,Under Contract,villas
35646892,Cornell,Illinois,61319,19946 Kyle Villages,3,2,2382,2396349.29,2009,Close to schools and shopping centers.,2023-08-09,Off Market,apartments
56062628,Winnebago,Nebraska,68071,07978 Timothy Expressway Apt. 085,2,2,4399,2647873.01,1984,Close to schools and shopping centers.,2023-10-20,Sold,townhouses
34626209,Manhasset,New York,11030,31729 Hampton Creek Apt. 684,4,2,964,3263321.25,2004,Perfect for first-time buyers or investors.,2023-10-13,Under Contract,villas
70830520,Pierce City,Missouri,65723,5968 Kristin Neck,2,3,4101,898056.29,1922,Spacious property with a large backyard.,2024-05-18,Pending,single houses
51919766,Centreville,Alabama,35042,5204 Ramos Center Suite 116,4,1,1002,3172275.32,1935,"Located in a quiet neighborhood, this property offers great potential.",2024-06-19,Off Market,townhouses
84381362,Girard,Ohio,44420,145 Tanner Fall,1,1,4933,4034743.27,1970,Recently renovated with modern finishes.,2024-05-23,Under Contract,villas
59496097,Philadelphia,Pennsylvania,19151,628 Turner Courts,5,1,4746,123396.12,1968,A beautiful home with stunning views.,2024-04-10,Off Market,condominiums
74731749,Lynchburg,Virginia,24513,9825 Bonilla Union,3,2,4432,3014558.77,1919,Spacious property with a large backyard.,2023-08-17,For Sale,townhouses
55605133,Meeker,Colorado,81641,463 James Parks Suite 806,4,2,1367,4371340.19,1983,"Located in a quiet neighborhood, this property offers great potential.",2024-05-11,Pending,townhouses
15384371,Saint Louis,Missouri,63141,69140 Lance Inlet,4,2,2431,1178327.34,1967,Spacious property with a large backyard.,2023-11-28,Sold,single houses
79000462,Effie,Minnesota,56639,5728 Smith Plaza Suite 891,2,1,2632,4544011.9,1919,"Located in a quiet neighborhood, this property offers great potential.",2023-10-18,Off Market,single houses
57009893,Leland,Illinois,60531,38441 Laura Stream,1,3,4228,827510.18,1955,Close to schools and shopping centers.,2023-12-06,Under Contract,villas
19910101,Portage,Ohio,43451,20516 Bauer Courts,1,1,841,2825164.74,1909,"Located in a quiet neighborhood, this property offers great potential.",2024-06-11,For Sale,apartments
27527385,Advent,West Virginia,25231,521 Pittman Valleys Suite 285,5,1,4762,507123.25,1917,Spacious property with a large backyard.,2023-08-30,Sold,condominiums
91234027,Port Orange,Florida,32127,862 Nicholas Vista Suite 538,1,1,2266,2364152.38,2009,Perfect for first-time buyers or investors.,2023-10-06,Under Contract,townhouses
10654118,Dillon,Colorado,80435,5957 Susan Roads,4,3,2688,832309.54,1959,"Located in a quiet neighborhood, this property offers great potential.",2024-03-14,Pending,condominiums
72413921,Oswego,Kansas,67356,589 Ibarra Trail,3,2,2321,2493406.89,1968,A beautiful home with stunning views.,2024-07-24,Under Contract,villas
27229215,Knox,Indiana,46534,189 Brewer Path Suite 112,4,1,2343,228087.75,2017,Perfect for first-time buyers or investors.,2024-08-04,For Sale,townhouses
30157175,Alexandria,Pennsylvania,16611,510 Johnson Shores Apt. 983,3,2,4352,4759718.16,1997,Spacious property with a large backyard.,2024-01-09,Under Contract,townhouses
80888299,Woodlake,California,93286,577 Nicole Plaza Suite 942,4,2,2864,3710960.91,1972,Spacious property with a large backyard.,2023-11-30,For Sale,townhouses
66852054,Baltimore,Maryland,21218,218 Shannon Terrace Suite 446,3,1,1851,4116314.9,2012,Spacious property with a large backyard.,2024-06-28,For Sale,condominiums
72403543,San Dimas,California,91773,88346 Jerome Bridge,4,1,4667,1061094.65,1979,A beautiful home with stunning views.,2024-01-26,Under Contract,single houses
11209375,Okahumpka,Florida,34762,877 Bailey Pike Suite 877,1,2,3029,856189.07,1999,A beautiful home with stunning views.,2024-02-18,For Sale,condominiums
83709168,Dayton,Ohio,45434,620 Alyssa Light,3,1,1016,2886310.47,1978,A beautiful home with stunning views.,2023-12-29,Sold,townhouses
51349465,Sammamish,Washington,98075,42317 Mcdaniel Freeway,1,1,3108,1547973.81,1955,Spacious property with a large backyard.,2024-06-06,Pending,single houses
37861583,Amherst Junction,Wisconsin,54407,83610 Rodriguez Brook Apt. 287,5,2,4322,1152546.84,2000,Spacious property with a large backyard.,2023-12-15,Under Contract,townhouses
95133063,Charlotteville,New York,12036,986 Young Well Suite 188,5,3,1031,1605720.38,2006,Recently renovated with modern finishes.,2024-02-07,Off Market,villas
80991748,Spokane,Washington,99205,37518 Robert Row,5,3,1576,1716728.57,1953,Recently renovated with modern finishes.,2024-03-27,For Sale,single houses
86534791,Verner,West Virginia,25650,13492 Robinson Points,4,1,3707,1921075.46,1995,Spacious property with a large backyard.,2024-01-29,Pending,apartments
51018369,Long Beach,California,90802,442 Michelle Common,4,2,4266,1865659.46,1937,Spacious property with a large backyard.,2023-08-10,Sold,apartments
89498940,Delta,Missouri,63744,30395 Diana Mount Suite 741,3,2,4353,798176.94,1980,A beautiful home with stunning views.,2024-04-20,Pending,villas
34729778,Barneveld,New York,13304,2548 William Plain Apt. 591,5,1,4102,2639218.46,1951,Close to schools and shopping centers.,2024-04-06,Off Market,villas
89550585,Altoona,Alabama,35952,8463 David Club Suite 605,1,3,1996,1415805.34,1982,A beautiful home with stunning views.,2023-10-26,Pending,townhouses
24170616,Prospect,Tennessee,38477,2312 Holly Road,5,2,2235,2801997.95,2022,Close to schools and shopping centers.,2024-07-12,Off Market,single houses
73226521,Freedom,Pennsylvania,15042,330 Justin Circle Suite 039,4,3,841,1746714.27,1990,A beautiful home with stunning views.,2023-12-15,Sold,townhouses
66782298,San Diego,California,92199,477 Mitchell Locks Apt. 437,1,2,4233,4074641.87,1962,Recently renovated with modern finishes.,2024-01-07,Under Contract,villas
13755727,Durham,Connecticut,6422,936 Wayne Camp,4,2,2948,663322.34,1958,Recently renovated with modern finishes.,2023-10-01,Off Market,villas
15185437,Netcong,New Jersey,7857,741 Lang Point Apt. 164,2,3,2454,4201229.64,1997,"Located in a quiet neighborhood, this property offers great potential.",2024-02-18,Pending,single houses
41219867,Mohawk,West Virginia,24862,6063 Gary Coves Suite 516,4,1,3151,305708.1,1971,Spacious property with a large backyard.,2024-03-21,Under Contract,townhouses
52125183,Villa Ridge,Illinois,62996,91890 Jones Island Apt. 299,5,3,2320,857461.8,1919,Recently renovated with modern finishes.,2024-06-15,For Sale,townhouses
49202372,Painter,Virginia,23420,1026 Leah Falls,5,3,4992,1360753.32,1928,Recently renovated with modern finishes.,2024-03-13,For Sale,townhouses
50745748,Eden Prairie,Minnesota,55346,1697 Pennington Forest Apt. 469,2,3,2340,4982934.58,2003,Close to schools and shopping centers.,2024-02-09,Off Market,townhouses
56623377,Pittsburgh,Pennsylvania,15235,502 Heath Mills Apt. 487,2,3,1214,3045064.96,1953,A beautiful home with stunning views.,2024-02-25,Under Contract,condominiums
46349434,Dewitt,Illinois,61735,68014 Bender Passage,2,3,2786,4731103.16,1990,Recently renovated with modern finishes.,2024-04-07,Under Contract,villas
41530451,West Point,Arkansas,72178,6412 Steven Square,5,1,802,3753226.48,1969,Spacious property with a large backyard.,2024-06-29,Off Market,villas
78193284,Montverde,Florida,34756,98358 Blair Ramp,1,2,4934,2728828.08,1963,Spacious property with a large backyard.,2023-11-13,Pending,townhouses
66928956,Bloomington,Indiana,47402,585 Carpenter Plains,4,1,2595,3590200.46,1987,A beautiful home with stunning views.,2024-04-03,For Sale,villas
25822861,Harpswell,Maine,4079,6149 Robinson Plains Suite 277,5,1,4216,3776020.18,1920,Recently renovated with modern finishes.,2024-01-27,Under Contract,townhouses
83234850,Flora Vista,New Mexico,87415,6582 Barbara Ferry Apt. 235,1,2,1418,529819.52,1937,Close to schools and shopping centers.,2024-04-04,Pending,apartments
91696558,Groton,Vermont,5046,70989 Grace Parkway Apt. 551,4,1,3725,246994.38,1925,Spacious property with a large backyard.,2023-09-23,For Sale,apartments
38803869,Atlanta,Georgia,30306,922 Ponce Junctions Suite 529,2,2,2537,3146602.12,1994,Spacious property with a large backyard.,2023-10-05,Sold,townhouses
82764027,Stem,North Carolina,27581,55113 Joshua Ramp,1,1,4155,1605315.92,1906,Recently renovated with modern finishes.,2024-05-26,Off Market,condominiums
88675685,Newington,Georgia,30446,9500 Mario Mission Apt. 530,5,1,4614,2353148.71,1919,A beautiful home with stunning views.,2024-02-14,Pending,condominiums
51389206,Plumville,Pennsylvania,16246,176 Callahan Burgs Suite 460,3,2,4080,938935.85,1902,"Located in a quiet neighborhood, this property offers great potential.",2024-01-03,Pending,townhouses
59480559,Knoxville,Tennessee,37938,83603 Heather Ville,4,1,2872,196730.39,2004,Close to schools and shopping centers.,2023-11-14,Off Market,villas
70906129,Reedsburg,Wisconsin,53958,666 Jennifer Mall,5,2,4343,4907368.75,1988,Close to schools and shopping centers.,2024-04-08,For Sale,townhouses
95338110,Oatman,Arizona,86433,6894 Kathleen Centers,2,1,3292,195845.07,1970,Spacious property with a large backyard.,2023-12-10,Pending,single houses
76602773,Eolia,Kentucky,40826,0502 Gregory Islands,5,3,4559,2431641.09,1909,Spacious property with a large backyard.,2023-10-02,Off Market,condominiums
37887573,Holtsville,New York,11742,49919 April Union,3,1,2059,4466363.37,1977,Perfect for first-time buyers or investors.,2023-10-23,Off Market,apartments
74756821,Clermont,Iowa,52135,41978 Rios Orchard,2,1,2414,4470666.84,1982,"Located in a quiet neighborhood, this property offers great potential.",2023-11-02,Sold,villas
51803497,Gary,Minnesota,56545,754 Merritt Isle Suite 124,4,3,1737,1821505.86,1988,Close to schools and shopping centers.,2023-11-10,Under Contract,condominiums
12806780,Saint Joe,Arkansas,72675,05953 Richard Dale,3,1,4506,841536.89,1981,A beautiful home with stunning views.,2024-04-12,Sold,villas
29775527,Laings,Ohio,43752,392 Melissa Bridge Apt. 146,5,1,2738,2050767.46,1903,Close to schools and shopping centers.,2024-01-08,Sold,townhouses
99599323,Adena,Ohio,43901,15046 John Canyon,2,1,2371,1219956.01,1904,Perfect for first-time buyers or investors.,2024-01-16,Sold,townhouses
87185304,Des Moines,Iowa,50947,9397 Kathryn Freeway Apt. 646,5,3,561,2487698.63,1907,Perfect for first-time buyers or investors.,2024-01-25,Off Market,single houses
82223462,Riverview,Florida,33578,47292 Bryant Terrace Suite 414,3,1,4122,2495169.66,1904,Perfect for first-time buyers or investors.,2024-05-01,Under Contract,villas
23938561,Flagstaff,Arizona,86001,477 David Flat,4,1,1120,3729416.5,2015,Recently renovated with modern finishes.,2023-11-20,For Sale,apartments
